OXY,EMG,ECG,RSP,OXY,OXY,OXY,
PO2,mV,mV,V,Pulse,BPM,Status,
CH1,CH2,CH3,CH4,CH5,CH9,CH13,
96.0116,0.32251,-0.92572,8.97705,-6.5072,74.2354,0.00718031,
96.0116,0.407288,-0.531067,8.97675,-6.50871,74.2354,0.00478657,
96.0116,0.4505,-0.0740356,8.97705,-6.51476,74.2548,0.00957405,
95.9924,0.455322,0.376648,8.97736,-6.51325,74.2548,0.00718031,
96.0211,0.404724,0.756348,8.97644,-6.545,74.1774,0.00957405,
96.0116,0.225647,1.0152,8.97675,-6.57222,74.2548,0.00957405,
96.002,0.0369873,1.11487,8.97766,-6.59943,74.2161,0.00957405,
96.0116,-0.151917,1.03815,8.97675,-6.62211,74.2354,0.0119678,
96.002,-0.336609,0.796448,8.97675,-6.64631,74.2354,0.00957405,
96.002,-0.432617,0.428101,8.97736,-6.66294,74.2161,0.0143615,
96.0116,-0.520691,-0.0122681,8.97705,-6.68108,74.2354,0.00957405,
96.002,-0.521362,-0.461487,8.97614,-6.6962,74.2161,0.00239283,
96.002,-0.48407,-0.857727,8.97766,-6.71132,74.1968,0.00718031,
96.0116,-0.312927,-1.14954,8.97644,-6.72493,74.2354,0.00718031,
95.9924,-0.158997,-1.29474,8.97614,-6.73703,74.2548,0.00957405,
96.0307,0.050293,-1.2724,8.97614,-6.74761,74.2354,0.00718031,
96.0116,0.246704,-1.0885,8.97614,-6.7582,74.2354,0.00957405,
96.0211,0.397888,-0.767395,8.97675,-6.76576,74.2161,0.00718031,
96.0116,0.456909,-0.348816,8.97583,-6.77483,74.2161,0.0143615,
96.0211,0.499207,0.109558,8.97614,-6.78088,74.2161,0.00957405,
95.9924,0.448914,0.541321,8.97583,-6.78844,74.2354,0.00957405,
96.0211,0.330566,0.887146,8.97644,-6.79449,74.2161,0.00957405,
96.0116,0.173828,1.09821,8.97614,-6.80053,74.2548,0.0143615,
96.0116,-0.0177612,1.14062,8.97583,-6.80356,74.2354,0.00718031,
95.9924,-0.181152,1.0069,8.97491,-6.81112,74.1968,0.00957405,
96.0307,-0.379944,0.716431,8.97583,-6.82019,74.2161,0.00718031,
96.002,-0.467285,0.313049,8.97644,-6.8338,74.2354,0.0143615,
96.0116,-0.542419,-0.144836,8.97583,-6.85497,74.2354,0.00718031,
96.002,-0.539795,-0.589111,8.97552,-6.86858,74.2354,0.00718031,
96.0116,-0.428711,-0.960205,8.97552,-6.88067,74.2548,0.00478657,
96.002,-0.272522,-1.20764,8.97583,-6.89579,74.2161,0.00957405,
96.0116,-0.126953,-1.29694,8.97552,-6.90638,74.1968,0.00478657,
96.0116,0.109558,-1.22113,8.97491,-6.91394,74.1968,0.00718031,
95.9924,0.294189,-0.992126,8.9743,-6.92452,74.2548,0.00957405,
96.0116,0.376831,-0.638672,8.9743,-6.93208,74.2161,0.00478657,
96.0211,0.437378,-0.199402,8.97583,-6.93813,74.2161,0.00478657,
96.002,0.459961,0.260315,8.9743,-6.94569,74.2741,0.00718031,
96.002,0.453552,0.674133,8.97369,-6.94871,74.2548,0.00718031,
95.9924,0.290833,0.984314,8.97522,-6.96081,74.2161,0.0119678,
96.002,0.154358,1.14508,8.97461,-6.96535,74.2161,0.00957405,
95.9924,-0.0620728,1.12885,8.974,-6.96383,74.1968,0.00957405,
96.0211,-0.258545,0.93866,8.97369,-6.97139,74.2354,0.0119678,
96.002,-0.424072,0.604553,8.97461,-6.97442,74.2354,0.00957405,
96.002,-0.519714,0.174988,8.974,-6.97744,74.2548,0.00478657,
96.002,-0.539307,-0.288696,8.974,-6.98198,74.2161,0.00957405,
96.002,-0.495972,-0.717651,8.97339,-6.98198,74.2354,0.00478657,
96.0116,-0.348938,-1.05591,8.97369,-6.99105,74.2354,0.0119678,
96.002,-0.232788,-1.25214,8.97308,-7.00617,74.2161,0.00718031,
96.002,-0.00860596,-1.28052,8.97369,-7.02129,74.2548,0.0119678,
96.0116,0.154846,-1.14471,8.974,-7.0349,74.2548,0.00478657,
96.0116,0.315857,-0.862976,8.97339,-7.04548,74.2548,0.00957405,
96.0116,0.431519,-0.47113,8.97278,-7.0606,74.2548,0.00478657,
96.0116,0.480103,-0.0217896,8.97247,-7.06665,74.2741,0.0119678,
96.002,0.466003,0.420227,8.97247,-7.07875,74.2161,0.00957405,
96.0116,0.371033,0.794739,8.97247,-7.08782,74.2354,0.00957405,
96.0211,0.241028,1.05109,8.97186,-7.09236,74.2161,0.00957405,
96.0116,0.0562134,1.14911,8.97278,-7.10143,74.2354,0.0119678,
96.002,-0.116089,1.07178,8.97247,-7.10596,74.2161,0.00957405,
96.002,-0.318481,0.831116,8.97217,-7.11352,74.2161,0.0119678,
96.0116,-0.438416,0.463745,8.97186,-7.11957,74.2934,0.00957405,
96.0211,-0.504272,0.0221558,8.97186,-7.12108,74.1774,0.00957405,
96.0211,-0.495361,-0.428345,8.97186,-7.12411,74.2548,0.0143615,
